;DocumentID;Date;SKU;Price;Discount;Customer;Quantity
9817;0;1/05/2019;2419;662.666667;0;156;4
9818;0;26/10/2019;2317;1899;0;156;2
9819;0;7/01/2019;2325;981.257143;0;156;4
9820;0;7/01/2019;1515;647.14;0;156;2
9821;0;15/01/2019;701;3282.796667;0;156;4
9822;0;11/01/2019;2240;1105.542107;0;165;4
9823;0;15/01/2019;2373;0;0;156;4
9824;0;16/01/2019;384;587.6025;0;156;2
9825;0;15/02/2019;1791;0;0;165;4
9826;0;23/02/2019;1552;1241.22;0;156;4
9827;0;28/02/2019;1824;0;0;165;4
9828;0;1/03/2019;1828;645.726667;0;156;2
9829;0;2/03/2019;2158;1145.87013;0;156;4
9830;0;14/03/2019;1587;1223.54;0;165;4
9831;0;30/03/2019;1252;846.255556;0;165;2
9832;0;5/04/2019;2108;2586.528571;0;156;4
9833;0;29/04/2019;2087;0;0;151;4
9834;0;30/07/2019;2103;1117.316667;0;156;4
9835;0;7/10/2019;406;4051.546667;0;156;4
9836;0;26/11/2019;2240;457.337756;0;156;1
9837;0;30/11/2019;2282;3300.521111;0;156;4
9846;0;2/12/2019;1415;1783.273333;0;156;4
9847;0;24/12/2019;2294;3208.32;0;156;4
9900;0;1/11/2019;2317;3798;0;156;2
9901;0;12/01/2019;1554;1856;0;156;2
9902;0;7/01/2019;701;5168.78;0;156;4
9903;0;12/01/2019;2240;1386.54;0;165;4
9904;0;11/02/2019;2373;0;0;156;4
9905;0;23/01/2019;384;824.23;0;156;2
9906;0;19/02/2019;1791;0;0;165;4
9907;0;11/03/2019;1552;0;0;156;4
9908;0;7/03/2019;1824;0;0;165;4
9909;0;5/03/2019;1828;968.59;0;156;2
9910;0;8/03/2019;2158;1096;0;156;4
9911;0;18/03/2019;1587;1223.54;0;165;4
9912;0;1/04/2019;1252;1692.51;0;165;2
9913;0;12/04/2019;2108;2517.76;0;156;4
9914;0;12/04/2019;2332;589.1;0;156;2
9915;0;2/05/2019;2087;0;0;151;4
9916;0;4/05/2019;2419;0;0;156;4
