;DocumentID;Date;SKU;Price;Discount;Customer;Quantity
9452;4;13/04/2019;2736;85;15;427;4
9458;9;17/07/2019;2736;85;15;427;1
9459;10;1/08/2019;2736;85;15;427;1
9460;11;26/08/2019;2735;25;5;427;4
9462;12;5/09/2019;2734;127;23;68;1
26390;13;3/06/2022;2817;372;67;598;0
27466;14;21/04/2022;714;0;0;434;1
30981;15;17/09/2022;2690;500;90;516;1
25843;16;18/01/2022;2856;42;8;604;1
29465;17;16/06/2022;2690;1271;229;471;1
28771;18;11/02/2022;2817;2275;409;74;1
28772;19;18/03/2022;2817;298;54;314;4
28773;20;9/07/2022;541;1525;275;231;4
28774;21;16/07/2022;541;1525;275;231;1
28775;22;29/04/2022;2643;646;116;510;12
25799;23;17/02/2022;614;4424;796;216;8
26387;24;28/03/2022;2424;4183;753;420;4
26388;25;28/03/2022;311;1695;305;216;4
26389;26;29/03/2022;611;1695;305;216;4
27285;30;18/04/2022;615;5593;1007;420;4
27286;31;19/04/2022;1648;3380;608;420;1
28903;33;15/08/2022;2442;2093;377;216;16
28905;34;9/08/2022;501;9220;1660;420;6
28906;35;23/07/2022;1059;4703;847;420;8
28907;36;23/07/2022;491;3390;610;420;12
28910;38;18/07/2022;496;3729;671;420;10
28316;39;23/08/2022;2072;4549;819;216;12
28317;40;25/06/2022;614;5339;961;420;4
27253;45;28/09/2022;2852;127;23;68;10
27525;46;23/06/2022;614;4449;801;216;1
27526;47;23/06/2022;2156;879;158;216;4
27254;48;4/01/2022;456;949;0;22;1
27256;49;22/06/2022;2817;467;84;22;9
29094;50;8/01/2022;1573;3104;559;447;1
29095;51;6/04/2022;2643;1017;183;447;0
30577;52;31/10/2022;1274;0;0;286;0
30578;53;29/10/2022;642;0;0;268;1
29096;54;20/06/2022;1777;826;149;329;3
27980;55;25/07/2022;2862;1200;0;396;0
27234;56;17/01/2022;1317;0;0;455;0
27235;57;18/01/2022;1317;0;0;455;2
17094;58;2/09/2020;2728;150;0;155;1
9543;59;22/08/2019;2875;150;0;112;2
9924;61;24/10/2019;2776;0;0;396;2
9925;62;5/11/2019;2776;0;0;130;6
9926;63;8/11/2019;2781;0;0;130;1
29466;64;6/10/2022;2690;237;43;172;1
29467;65;1/10/2022;2702;300;0;249;2
9544;66;2/01/2019;2775;1100;0;220;0
9944;67;3/01/2019;2342;0;0;551;0
9945;68;4/01/2019;2360;0;0;545;0
9946;69;4/01/2019;1344;0;0;545;2
9545;70;4/01/2019;2728;100;0;31;0
9947;71;7/01/2019;2117;0;0;551;1
9546;72;7/01/2019;2862;125;0;592;3
9548;73;8/01/2019;2883;0;60;317;0
9950;74;8/01/2019;2226;0;0;479;1
9551;75;10/01/2019;2844;0;0;284;0
9951;76;10/01/2019;1600;0;0;155;0
9952;77;11/01/2019;1600;0;0;155;0
9953;78;11/01/2019;1354;0;0;551;0
9954;79;12/01/2019;2301;0;0;155;0
9955;80;14/01/2019;1600;0;0;155;0
9956;81;16/01/2019;2275;0;0;551;0
9957;82;17/01/2019;1600;0;0;551;0
9959;83;17/01/2019;1749;0;0;581;0
9960;84;17/01/2019;1354;0;0;155;0
9961;85;21/01/2019;2226;0;0;479;0
9962;86;21/01/2019;2775;0;0;479;0
9964;87;23/01/2019;2733;0;0;83;4
9552;88;28/01/2019;2827;3500;0;551;0
9967;89;28/01/2019;1600;0;0;155;0
9968;90;28/01/2019;1600;0;0;155;0
9969;91;29/01/2019;1338;0;0;97;0
9970;92;29/01/2019;1600;0;0;155;4
9554;93;5/02/2019;2831;3600;0;485;1
9555;94;13/02/2019;2862;125;0;396;0
9971;95;18/02/2019;2824;0;0;562;2
9557;96;19/02/2019;2889;0;40;396;1
9562;97;27/02/2019;2862;125;0;396;2
9565;98;27/02/2019;2889;0;50;592;2
9570;99;1/03/2019;2804;1600;0;317;1
9573;100;9/03/2019;2804;800;0;317;2
9574;101;11/03/2019;2862;250;0;396;6
9838;102;14/03/2019;2117;16318;0;551;0
9972;103;18/03/2019;2865;0;0;479;1
9576;104;13/05/2019;2883;0;20;396;1
9578;105;18/03/2019;2864;120;0;592;2
9580;106;20/03/2019;2804;1550;0;317;2
9582;107;25/03/2019;2804;1600;0;396;0
9974;108;25/03/2019;2889;0;0;402;0
9976;109;29/03/2019;2723;0;0;479;2
9585;110;11/04/2019;2723;60;0;25;0
9978;111;13/04/2019;2361;0;0;460;1
9587;112;18/04/2019;2891;0;20;231;2
9591;113;18/04/2019;2804;1500;0;317;1
9592;114;22/04/2019;2862;125;0;396;1
9594;115;22/04/2019;2889;0;20;592;0
9979;116;23/04/2019;2723;0;0;479;0
9980;117;3/05/2019;2522;0;0;402;0
9981;118;3/05/2019;2522;0;0;402;0
9839;120;11/04/2019;2333;2400;0;155;1
9596;121;4/01/2019;2736;85;15;427;4
9597;122;8/01/2019;2734;85;15;427;2
9599;123;9/01/2019;2735;127;23;427;4
9602;124;10/01/2019;2734;85;15;427;4
9604;125;12/01/2019;2734;85;15;427;1
9606;126;15/01/2019;2735;42;8;427;0
9609;128;23/01/2019;2736;85;15;427;1
9610;129;25/01/2019;2736;85;15;427;4
9611;130;8/02/2019;2735;254;46;427;1
9613;131;8/02/2019;2736;85;15;427;1
9985;133;18/02/2019;2734;0;0;299;1
9616;134;13/03/2019;2736;85;15;427;1
9617;135;15/03/2019;2736;85;15;427;0
9988;137;23/03/2019;2735;0;0;517;1
9618;138;29/03/2019;2736;85;15;427;1
9619;139;12/04/2019;2736;85;15;427;1
9620;140;30/04/2019;2736;85;15;427;0
9992;141;9/05/2019;2863;0;0;337;1
9621;142;14/05/2019;2736;85;15;427;1
9622;143;17/05/2019;2736;85;15;427;1
9623;144;22/05/2019;2736;85;15;427;4
9625;145;24/05/2019;2734;85;15;427;2
9627;146;25/05/2019;2735;127;23;427;1
9629;147;1/06/2019;2736;85;15;427;4
9631;148;10/06/2019;2734;85;15;427;1
9633;149;15/06/2019;2736;85;15;427;4
9636;150;20/06/2019;2734;127;23;427;4
9640;152;15/08/2019;2736;85;15;427;1
9641;153;22/08/2019;2736;68;12;427;1
9644;154;23/08/2019;2736;127;23;427;1
9645;155;31/08/2019;2736;85;15;427;1
9646;156;12/09/2019;2740;30;0;49;3
9648;157;10/05/2019;2883;0;60;328;1
9651;158;13/05/2019;2891;0;20;396;0
9994;159;18/05/2019;2659;0;0;408;2
9655;160;20/05/2019;2804;1500;0;317;2
9657;161;20/05/2019;2889;0;0;592;1
9661;162;20/05/2019;2862;170;0;396;2
9664;163;27/05/2019;2883;0;40;396;1
9667;164;27/05/2019;2740;70;0;25;2
9668;165;31/05/2019;2727;68;0;73;2
9669;166;22/06/2019;2658;50;0;25;0
9995;167;1/07/2019;2723;0;0;91;2
9670;168;1/07/2019;2781;1100;0;396;0
9997;169;5/07/2019;2522;0;0;402;1
9674;170;9/07/2019;2862;125;0;396;0
9675;172;16/07/2019;2868;100;0;592;1
9677;173;17/07/2019;2883;0;20;396;0
10000;174;22/07/2019;1079;0;0;434;1
9679;175;29/07/2019;2868;100;0;328;0
10001;176;29/07/2019;2827;0;0;562;1
9680;177;7/08/2019;2865;125;0;396;0
10007;179;15/08/2019;2883;0;0;479;1
9682;180;16/08/2019;2889;0;20;317;1
9686;181;28/08/2019;2862;125;0;396;0
10009;182;3/09/2019;2734;0;0;83;0
10010;183;6/09/2019;2723;0;0;479;0
10012;184;9/09/2019;2827;0;0;562;0
10013;185;12/09/2019;2775;0;0;479;0
10014;186;12/09/2019;1444;0;0;587;0
10016;187;16/09/2019;1064;0;0;512;0
10017;188;17/09/2019;2775;0;0;479;1
9688;189;19/09/2019;2886;0;20;396;2
9694;190;25/09/2019;2726;120;0;87;2
9695;191;28/09/2019;2781;1100;0;396;4
9788;192;7/10/2019;2646;300;0;396;1
9696;193;8/10/2019;2781;550;0;396;2
9698;194;9/10/2019;2805;1500;0;317;3
9702;195;17/10/2019;1459;99;0;317;2
9704;196;18/10/2019;2833;1900;0;396;1
9707;197;21/10/2019;2886;0;20;396;4
9714;198;22/10/2019;2805;3000;0;317;2
9716;199;26/10/2019;2781;1100;0;396;4
9840;200;28/10/2019;2117;12040;0;551;0
10018;201;2/11/2019;2734;0;0;494;0
10020;202;3/11/2019;2830;0;0;494;0
10022;203;3/11/2019;2117;0;0;494;3
9719;204;5/11/2019;2865;300;0;317;1
9720;205;6/11/2019;2868;100;0;396;2
9728;206;8/11/2019;2723;100;0;87;0
10023;207;9/11/2019;2830;0;0;494;1
9729;208;9/11/2019;2886;0;20;396;4
9841;209;11/11/2019;2275;12262;0;434;4
9731;210;13/11/2019;2830;3500;0;592;2
9733;211;13/11/2019;2804;1500;0;317;0
10026;212;16/11/2019;2117;0;0;494;4
9734;213;16/11/2019;2781;2200;0;396;0
10027;214;22/11/2019;2723;0;0;479;1
9735;215;26/11/2019;2865;125;0;396;1
9736;216;26/11/2019;2868;150;0;331;2
9741;217;3/12/2019;696;50;0;317;1
9742;218;4/12/2019;2889;0;20;396;2
